variable_name,old_variable_name,dataset
time,TIM_627,all
trajectory_id,,all
duration,DUR_628,all
latitude,LAT_500,all
longitude,LON_502,all
altitude,,all
mid_time,,extra_time
end_time,,extra_time
ship_speed,SOG_3080,nav
ship_course,COG_3070,nav
ship_heading,Hdg_3061,nav
air_temp,AT_3051,met
rh,RH_910,met
baro_pressure,BP_915,met
insolation,Qs_133,met
rain_rate,Rr_962,met
wind_speed,WS_404,met
wind_direction,WD_412,met
wind_u,WU_430,met
wind_v,WV_431,met
relative_wind_speed,RWS_405,met
relative_wind_direction,RWD_414,met
cn,CN_1853,microphys
ufcn,UFCN_1852,microphys
ccn_ss,CCNSS_6201,ccn
ccn,CCN_6200,ccn
ccn_cn_ratio,CCNra_6202,ccn
aod_375,AOD1_1881,aod
aod_500,AOD2_1881,aod
aod_778,AOD3_1883,aod
aod_862,AOD4_1884,aod
air_mass,AODAMS_1879,aod
sea_surface_temperature,T_25,seawater
salinity,S_41,seawater
chlorophyll,Chl_933,seawater
dms_seawater,DMSw_1809,dms
dms_air,DMSa_1808,dms
radon,Rn_1810,radon
IC_MSA_sub1,MSA_1956,inorganic_ion_chemistry
IC_MSA_super1,MSA_1957,inorganic_ion_chemistry
IC_Cl_sub1,Cl_1944,inorganic_ion_chemistry
IC_Cl_super1,Cl_1945,inorganic_ion_chemistry
IC_Br_sub1,Br_1989,inorganic_ion_chemistry
IC_Br_super1,Br_1990,inorganic_ion_chemistry
IC_NO3_sub1,NO3_1947,inorganic_ion_chemistry
IC_NO3_super1,NO3_1948,inorganic_ion_chemistry
IC_SO4_sub1,SO4_1950,inorganic_ion_chemistry
IC_SO4_super1,SO4_1951,inorganic_ion_chemistry
IC_Oxalate_sub1,Oxlate_1986,inorganic_ion_chemistry
IC_Oxalate_super1,Oxlate_1987,inorganic_ion_chemistry
IC_Na_sub1,Na_1920,inorganic_ion_chemistry
IC_Na_super1,Na_1921,inorganic_ion_chemistry
IC_NH4_sub1,NH4_1923,inorganic_ion_chemistry
IC_NH4_super1,NH4_1924,inorganic_ion_chemistry
IC_K_sub1,K_1926,inorganic_ion_chemistry
IC_K_super1,K_1927,inorganic_ion_chemistry
IC_Mg_sub1,Mg_1929,inorganic_ion_chemistry
IC_Mg_super1,Mg_1930,inorganic_ion_chemistry
IC_Ca_sub1,Ca_1932,inorganic_ion_chemistry
IC_Ca_super1,Ca_1933,inorganic_ion_chemistry
XRF_Al_sub1,Al_1968,trace_element_chemistry
XRF_Al_super1,Al_1969,trace_element_chemistry
XRF_Al_sub10,Al_1970,trace_element_chemistry
XRF_Si_sub1,Si_1974,trace_element_chemistry
XRF_Si_super1,Si_1975,trace_element_chemistry
XRF_Si_sub10,Si_1976,trace_element_chemistry
XRF_Ca_sub1,Ca_1977,trace_element_chemistry
XRF_Ca_super1,Ca_1978,trace_element_chemistry
XRF_Ca_sub10,Ca_1979,trace_element_chemistry
XRF_Ti_sub1,Ti_1980,trace_element_chemistry
XRF_Ti_super1,Ti_1981,trace_element_chemistry
XRF_Ti_sub10,Ti_1982,trace_element_chemistry
XRF_Fe_sub1,Fe_1971,trace_element_chemistry
XRF_Fe_super1,Fe_1972,trace_element_chemistry
XRF_Fe_sub10,Fe_1973,trace_element_chemistry
total_aerosol_mass_sub1,mass_1965,total_mass
total_aerosol_mass_super1,mass_1966,total_mass
OC_sub180nm,OC_2020,carbon_chemistry
OC_sub1,OC_1959,carbon_chemistry
OC_super1,OC_1960,carbon_chemistry
OC_sub10,OC_1961,carbon_chemistry
EC_sub1,BC_1962,carbon_chemistry
EC_super1,BC_1963,carbon_chemistry
EC_sub10,BC_1964,carbon_chemistry
nr_so4_sub1,SO4_1992,non-refractory_chemistry
nr_nh4_sub1,NH4_1995,non-refractory_chemistry
nr_no3_sub1,NO3_1994,non-refractory_chemistry
nr_pom_sub1,POM_1996,non-refractory_chemistry
ozone,O3_1807,gas_chemistry
so2,SO2_1816,gas_chemistry
co_air,COa_1804,gas_chemistry
scatter_450_sub1,SASB_1867,optics_scatter
scatter_550_sub1,SASG_1868,optics_scatter
scatter_700_sub1,SASR_1869,optics_scatter
backscatter_450_sub1,SBSB_1870,optics_scatter
backscatter_550_sub1,SBSG_1871,optics_scatter
backscatter_700_sub1,SBSR_1872,optics_scatter
scatter_rh_sub1,,optics_scatter
scatter_450_sub10,ASB_1861,optics_scatter
scatter_550_sub10,ASG_1862,optics_scatter
scatter_700_sub10,ASR_1863,optics_scatter
backscatter_450_sub10,ABSB_1864,optics_scatter
backscatter_550_sub10,ABSG_1865,optics_scatter
backscatter_700_sub10,ABSR_1866,optics_scatter
scatter_rh_sub10,ASSRH_1876,optics_scatter
scatter_angstrom_450_550_sub1,AScAE1_2003,optics_scatter_angstrom
scatter_angstrom_450_700_sub1,AScAE2_2004,optics_scatter_angstrom
scatter_angstrom_550_700_sub1,AScAE3_2005,optics_scatter_angstrom
scatter_angstrom_450_550_sub10,,optics_scatter_angstrom
scatter_angstrom_450_700_sub10,,optics_scatter_angstrom
scatter_angstrom_550_700_sub10,,optics_scatter_angstrom
absorb_467_sub1,SAAb1_1894,optics_absorb
absorb_530_sub1,SAAb2_1895,optics_absorb
absorb_660_sub1,SAAb3_1896,optics_absorb
absorb_467_sub10,AAb1_1891,optics_absorb
absorb_530_sub10,AAb2_1892,optics_absorb
absorb_660_sub10,AAb3_1893,optics_absorb
absorb_angstrom_467_530_sub1,AAbAE1_2000,optics_absorb_angstrom
absorb_angstrom_467_660_sub1,AAbAE2_2001,optics_absorb_angstrom
absorb_angstrom_530_660_sub1,AAbAE3_2002,optics_absorb_angstrom
absorb_angstrom_467_530_sub10,,optics_absorb_angstrom
absorb_angstrom_467_660_sub10,,optics_absorb_angstrom
absorb_angstrom_530_660_sub10,,optics_absorb_angstrom
ssa_467_sub1,ASSA1_2006,optics_ssa
ssa_530_sub1,ASSA2_2007,optics_ssa
ssa_660_sub1,ASSA3_2008,optics_ssa
ssa_467_sub10,,optics_ssa
ssa_530_sub10,,optics_ssa
ssa_660_sub10,,optics_ssa
scatter_frh_450_sub1,ASfRH1_2009,optics_frh
scatter_frh_550_sub1,ASfRH2_2010,optics_frh
scatter_frh_700_sub1,ASfRH3_2011,optics_frh
backscatter_frh_450_sub1,,optics_frh
backscatter_frh_550_sub1,,optics_frh
backscatter_frh_700_sub1,,optics_frh
scatter_frh_rh_hi_sub1,,optics_frh
scatter_frh_rh_lo_sub1,,optics_frh
scatter_frh_lo_450_sub1,,optics_frh
scatter_frh_lo_550_sub1,,optics_frh
scatter_frh_lo_700_sub1,,optics_frh
scatter_frh_hi_450_sub1,,optics_frh
scatter_frh_hi_550_sub1,,optics_frh
scatter_frh_hi_700_sub1,,optics_frh
backscatter_frh_lo_450_sub1,,optics_frh
backscatter_frh_lo_550_sub1,,optics_frh
backscatter_frh_lo_700_sub1,,optics_frh
backscatter_frh_hi_450_sub1,,optics_frh
backscatter_frh_hi_550_sub1,,optics_frh
backscatter_frh_hi_700_sub1,,optics_frh
